"CAS","DTXSID","PREFERRED_NAME","element_metal","C..Z..C.Q","C..O.N","C..O.O","bond.C.O","CC..O.C","CN_amine","COC","COH_alcohol","CX_halide","P.O","quatN","S..O.N","S..O.O","S..O.X","bond.X","bond.metal","alkaneBranch","alkaneCyclic","chain.alkaneLinear","alkeneLinear","aromaticAlkane","oxy.alkaneLinear","ligand","ring.hetero","bond.C.N","CS","N..C.","NC.O","OZ_oxide","PC","QQ.Q.O_S","S.O","alkeneBranch","ring.aromatic","S.N"
"355-46-4","DTXSID7040150","Perfluorohexanesulfonic acid","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,1,0,0,1,0,0,0
"678-77-3","DTXSID0060985","Hexafluoroglutaryl chloride","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"375-82-6","DTXSID00190950","6:1 Fluorotelomer alcohol","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"80220-63-9","DTXSID30627108","((Perfluorooctyl)ethyl)phosphonic acid","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0",0,0,0,0,1,1,0,0,0,0,0
"3834-42-2","DTXSID70400078","(Heptafluoropropyl)trimethylsilane","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"883498-76-8","DTXSID50381992","Bis(1H,1H-perfluoropropyl)amine","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"355-43-1","DTXSID7047566","Perfluoro-1-iodohexane","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"27619-97-2","DTXSID6067331","6:2 Fluorotelomer sulfonic acid","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0",0,0,0,0,1,0,0,1,0,0,0
"423-60-9","DTXSID90315130","Perfluoro-1-octanesulfonyl chloride","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,1,0,0,0
"94159-84-9","DTXSID80881157","1-(Perfluorofluorooctyl)propane-2,3-diol","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
