"","chemical_id","chemical_name","CASRN","DTXSID","Classification","Fluorinated.Carbons","MO24","DP24","SM24","MORT","CRAN","AXIS","EDEM","MUSC","LTRK","BRN_","SKIN","NC__","TCHR","Morph.BMD10","Background","Excitatory","Refractory","Light","Dark","AVERAGE_MASS","TOXCAST_NUMBER_OF_ASSAYS.TOTAL","OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED","OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED","VAPOR_PRESSURE_MMHG_TEST_PRED","ORAL_RAT_LD50_MOL.KG_TEST_PRED","EPR.LEL","LPR.LEL","Chromotography","Volatile","Background_new","Excitatory_new","Refractory_new","Light_new","Dark_new"
"1",725,"8:2 Fluorotelomer acrylate","27905-45-9","DTXSID5067348","fluorotelomer acrylate",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,518.17,"-",4.52784,4.63359,"0.28774","-",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"2",726,"8:2 Fluorotelomer Alcohol","678-39-7","DTXSID7029904","fluorotelomer alcohol",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464.122,"55/667",4.22194,5.4303,"0.23227400000000001","0.00051760700000000001",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"3",1016,"Ammonium perfluorooctanoate","3825-26-1","DTXSID8037708","perfluoroalkyl carboxylic acid",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,431.101,"32/676",4.15596,2.95329,"0.17660400000000001","0.00042559800000000001",NA,NA,"LC","Non-Volatile",NA,NA,NA,3.7,NA
"4",2585,"Perfluorodecanoic acid","335-76-2","DTXSID3031860","perfluoroalkyl carboxylic acid",9,NA,NA,NA,NA,11.0404987573736,NA,84.0327502650461,NA,NA,NA,NA,NA,97.2250561304944,0.223459294167471,NA,NA,NA,NA,NA,514.086,"140/732",4.28197,3.13614,"0.042658000000000001","0.00093110800000000004",NA,NA,"LC","Non-Volatile",33.3,NA,NA,NA,NA
"5",2587,"Perfluoroheptanoic acid","375-85-9","DTXSID1037303","perfluoroalkyl carboxylic acid",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364.062,"30/675",4.08669,1.36673,"0.59979099999999996","0.00060813499999999999",NA,NA,"LC","Non-Volatile",NA,NA,NA,NA,NA
"6",2589,"Perfluorohexanoic acid","307-24-4","DTXSID3031862","perfluoroalkyl carboxylic acid",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,314.054,"18/717",3.82727,2.02205,"0.90991299999999997","0.0024831300000000001",NA,100,"LC","Non-Volatile",NA,NA,NA,NA,NA
"7",2590,"Perfluorononanoic acid","375-95-1","DTXSID8031863","perfluoroalkyl carboxylic acid",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.5,66.5,464.078,"112/756",4.1997,2.83969,"0.067452799999999993","0.000376704",NA,66.5,"LC","Non-Volatile",NA,NA,NA,66.5,66.5
"8",2594,"Perfluorooctanesulfonamide","754-91-6","DTXSID3038939","perfluoroalkyl sulfonamide",8,NA,10.5784315434775,NA,3.63093486683823,3.31552663498434,NA,3.79099343952133,NA,NA,3.18365547229145,NA,NA,3.73168353969348,2.87574148459505,NA,NA,NA,NA,NA,499.14,"194/702",4.29823,4.05641,"0.95499299999999998","0.000528445",NA,NA,"LC","Non-Volatile",33.3,11.1,NA,0.14,3.7
"9",2595,"Perfluorooctanesulfonic acid","1763-23-1","DTXSID3031864","perfluoroalkyl sulfonic acid",8,NA,NA,NA,NA,15.3133191470433,24.7034968747943,15.3133191470433,40.0928755412565,NA,42.84075640618,NA,NA,37.6465700588491,15.5009907463708,NA,NA,NA,3.7,11.1,500.13,"211/1007",4.74766,-0.567682,"-","-",NA,3.7,"LC","Non-Volatile",NA,100,NA,3.7,11.1
"10",2596,"Perfluorooctanoic acid","335-67-1","DTXSID8031865","perfluoroalkyl carboxylic acid",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414.07,"53/918",4.15596,2.95329,"0.34514400000000001","0.00042559800000000001",NA,NA,"LC","Non-Volatile",NA,NA,0.41,NA,NA
