"chemical_id","chemical_name","CASRN","DTXSID","Morph.BMD10.x","Background_BMD","Excitatory_BMD","Refractory_BMD","Light_BMD","Dark_BMD","EPR.BMD","LPR.BMD","Classification","Fluorinated.Carbons","MO24","DP24","SM24","MORT","CRAN","AXIS","EDEM","MUSC","LTRK","BRN_","SKIN","NC__","TCHR","Morph.BMD10.y","AVERAGE_MASS","TOXCAST_NUMBER_OF_ASSAYS.TOTAL","OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED","OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED","VAPOR_PRESSURE_MMHG_TEST_PRED","ORAL_RAT_LD50_MOL.KG_TEST_PRED","EPR.LEL","LPR.LEL","Chromotography","Volatile"
1016,"Ammonium perfluorooctanoate","3825-26-1","DTXSID8037708",NA,NA,NA,NA,NA,NA,NA,NA,"perfluoroalkyl carboxylic acid",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,431.101,"32/676",4.15596,2.95329,"0.176604","0.000425598",NA,NA,"LC","Non-Volatile"
2585,"Perfluorodecanoic acid","335-76-2","DTXSID3031860",0.223459294,NA,8.224020493,NA,NA,NA,NA,NA,"perfluoroalkyl carboxylic acid",9,NA,NA,NA,NA,11.04049876,NA,84.03275027,NA,NA,NA,NA,NA,97.22505613,0.223459294,514.086,"140/732",4.28197,3.13614,"0.042658","0.000931108",NA,NA,"LC","Non-Volatile"
2587,"Perfluoroheptanoic acid","375-85-9","DTXSID1037303",NA,NA,NA,NA,NA,NA,NA,NA,"perfluoroalkyl carboxylic acid",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364.062,"30/675",4.08669,1.36673,"0.599791","0.000608135",NA,NA,"LC","Non-Volatile"
2589,"Perfluorohexanoic acid","307-24-4","DTXSID3031862",NA,NA,NA,NA,NA,NA,NA,NA,"perfluoroalkyl carboxylic acid",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314.054,"18/717",3.82727,2.02205,"0.909913","0.00248313",NA,100,"LC","Non-Volatile"
2590,"Perfluorononanoic acid","375-95-1","DTXSID8031863",NA,NA,NA,NA,NA,1.179432174,NA,NA,"perfluoroalkyl carboxylic acid",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464.078,"112/756",4.1997,2.83969,"0.0674528","0.000376704",NA,66.5,"LC","Non-Volatile"
2594,"Perfluorooctanesulfonamide","754-91-6","DTXSID3038939",2.875741485,1.204017233,2.648836635,0.100970402,NA,0.114114609,0.100970402,0.114114609,"perfluoroalkyl sulfonamide",8,NA,10.57843154,NA,3.630934867,3.315526635,NA,3.79099344,NA,NA,3.183655472,NA,NA,3.73168354,2.875741485,499.14,"194/702",4.29823,4.05641,"0.954993","0.000528445",NA,NA,"LC","Non-Volatile"
2595,"Perfluorooctanesulfonic acid","1763-23-1","DTXSID3031864",15.50099075,NA,NA,NA,1.979094907,1.052221407,NA,1.052221407,"perfluoroalkyl sulfonic acid",8,NA,NA,NA,NA,15.31331915,24.70349687,15.31331915,40.09287554,NA,42.84075641,NA,NA,37.64657006,15.50099075,500.13,"211/1007",4.74766,-0.567682,"-","-",NA,3.7,"LC","Non-Volatile"
2596,"Perfluorooctanoic acid","335-67-1","DTXSID8031865",NA,NA,NA,NA,NA,NA,NA,NA,"perfluoroalkyl carboxylic acid",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414.07,"53/918",4.15596,2.95329,"0.345144","0.000425598",NA,NA,"LC","Non-Volatile"
2597,"Perfluoropentanoic acid","2706-90-3","DTXSID6062599",NA,74.52218757,NA,NA,NA,4.993197156,NA,NA,"perfluoroalkyl carboxylic acid",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264.047,"-",3.75908,2.51218,"0.922571","0.00591562",NA,NA,"LC","Non-Volatile"
2598,"Perfluorotetradecanoic acid","376-06-7","DTXSID3059921",NA,NA,NA,NA,NA,NA,NA,NA,"perfluoroalkyl carboxylic acid",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,714.117,"-",5.75457,5.11584,"0.00385478","-",NA,NA,"LC","Non-Volatile"
