Analysis,Probe.ID,Best.Model,Best.BMD,Best.BMDL,Best.BMDU,Best.fitPValue,Best.AIC,Best.adverseDirection,m.d,LEL info
2590_lpr_gui_BMD,L,Linear,48.9313,41.6084,59.3254,0.7716,-100.978784,1,100,66.5
2594_lpr_gui_BMD,L,Linear,9.0856,3.26237,136900,0.5518,6.92298,1,100,No lel
2594_lpr_gui_BMD,D,Exp 2,2.71345,0.346005,37000,0.237,302.4846,-1,100,No lel
2595_lpr_gui_BMD,L,Poly 4,2.64202,2.20785,3.27651,0.2193,205.989814,1,100,3.7
2600_lpr_gui_BMD,L,Linear,89.9254,65.7454,142.191,0.6976,-136.463933,1,100,No lel
2685_lpr_gui_BMD,L,Exp 2,47.2133,44.1165,50.7431,0.8558,-14.84772,1,100,33.3
2686_lpr_gui_BMD,L,Exp 2,7.79119,7.15178,8.59388,0.962,59.81088,1,100,11.1
2686_lpr_gui_BMD,D,Linear,71.5214,20.3915,1232100,0.9993,385.900428,-1,100,No lel
3766_lpr_gui_BMD,D,Power,17.2045,5.17462,808.6,0.3795,314.456751,-1,100,No lel
3771_lpr_gui_BMD,L,Poly 4,21.9575,17.9015,25.8753,0.9011,148.365403,-1,100,33.3
3853_lpr_gui_BMD,L,Exp 2,91.5669,81.2103,110.989,0.9781,-7.287257,1,100,No lel
4336_lpr_gui_BMD,L,Poly 2,19.3422,14.9868,27.5811,0.08589,80.061467,1,100,33.3
4336_lpr_gui_BMD,D,Linear,90.3429,66.0509,142.845,0.03999,481.50362,-1,100,66.5
4344_lpr_gui_BMD,L,Poly 3,41.0202,33.6691,48.5044,0.9887,280.161033,-1,100,33.3
4345_lpr_gui_BMD,L,Hill,37.7139,34.8276,2.50E+07,0.124,-50.844405,1,50,No lel
4353_lpr_gui_BMD,L,Power,90.6701,81.4053,99.2508,0.9825,20.754944,1,100,No lel
4368_lpr_gui_BMD,L,Poly 2,26.5687,18.867,96.4484,0.9196,-2.177242,1,100,33.3
4373_lpr_gui_BMD,L,Linear,38.2765,30.7678,50.5933,0.08337,-86.204873,1,100,33.3
4396_lpr_gui_BMD,D,Power,72.2728,10.5072,558.449,0.2173,377.547289,-1,100,11.1
4401_lpr_gui_BMD,L,Hill,64.6836,51.5107,71.3036,0.7949,-113.009468,1,100,66.5
4422_lpr_gui_BMD,L,Poly 4,21.6054,16.3721,27.6218,0.9569,-111.617424,-1,100,33.3
4431_lpr_gui_BMD,L,Linear,9.45866,6.25531,19.3769,0.4758,-116.857487,1,100,No lel
4431_lpr_gui_BMD,D,Linear,51.3086,13.8459,1232100,0.5143,200.812501,-1,100,No lel
4436_lpr_gui_BMD,L,Exp 2,65.5575,38.7131,333000,0.3724,-299.6158,1,100,No lel
4451_lpr_gui_BMD,L,Poly 2,16.0245,13.7114,26.9276,0.5377,-111.625183,-1,100,No lel
4451_lpr_gui_BMD,D,Linear,14.4685,9.51323,30.1856,0.7329,273.290007,-1,100,0.046
4452_lpr_gui_BMD,D,Linear,68.2544,39.8888,236.194,0.637,400.323148,-1,100,33.3
4453_lpr_gui_BMD,L,Poly 2,30.4859,14.7453,1232100,0.2511,84.665341,-1,100,No lel
4453_lpr_gui_BMD,D,Exp 2,25.7718,13.9142,111000,0.02591,392.6419,1,100,No lel
4454_lpr_gui_BMD,L,Poly 2,18.5513,13.8673,28.5767,0.03532,103.564511,1,100,33.3
